title,epic,story,description,estimate_sp,estimate_jh,labels
A1,Auth & Onboarding,Onboarding tenant + admin invite,"Tenant creation flow + admin invite + basic KYC placeholder",8,64,"mvp,backend"
A2,Auth & Onboarding,Auth JWT + refresh tokens + MFA TOTP,"Auth integration with Auth0 + MFA TOTP setup and verification",13,104,"mvp,backend,security"
B1,Users & Roles,CRUD utilisateurs + invite flow,"User invite, accept, profile management",8,64,"mvp,frontend,backend"
B2,Users & Roles,RBAC baseline (roles, assignation),"Role model + enforcement middleware",8,64,"mvp,backend"
C1,Products & Tariffs,Product model + CRUD,"Product schema storage and admin UI",8,64,"mvp,backend,frontend"
C2,Products & Tariffs,Tariff evaluation endpoint,"Simple rule engine endpoint returning premium breakdown",13,104,"mvp,backend"
D1,Quoting,Quote creation API + frontend wizard,"Quote wizard minimal fields, autosave",13,104,"mvp,frontend,backend"
D2,Quoting,Accept quote & issue policy,"Idempotent issuance, PDF generation, store policy",21,168,"mvp,backend"
E1,Claims,Claim intake API + mobile quick form,"Mobile-first claim intake + attachments",13,104,"mvp,frontend,backend"
E2,Claims,Claim list + detail basic,"List, filters, detail timeline",13,104,"mvp,frontend"
F1,Docs,Document upload + viewer,"S3 integration for uploads, secure access",8,64,"mvp,backend"
G1,Admin,Admin settings UI,"Tenant settings UI and permissions",5,40,"mvp,frontend"
G2,Reporting,Basic dashboard KPIs,"GWP, policies count, claims count widgets",13,104,"mvp,frontend,backend"
H1,Infra,CI/CD pipeline + deploy,"GitHub Actions + Render deployment, Vercel for frontend",13,104,"mvp,infra"
H2,Infra,Backups & DB PITR,"RDS snapshots and restore runbook",8,64,"mvp,infra"
I1,Docs,OpenAPI + Postman collection,"Finalize OpenAPI and provide Postman collection",5,40,"mvp,docs"
J1,Ops,Monitoring basics,"Prometheus/Grafana basic metrics and alerts",8,64,"mvp,infra"
